id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
3084,Sodium Palmitate,,,278.41,,C16H31NaO2,,"Sodium palmitateHexadecanoic acid, sodium salt,Sodium hexadecanoateHSDB 759Palmitic acid sodium saltSodium pentadecanecarboxylatePalmitic acid, sodium salt,",
3085,Sodium Pantothenate,,,241,,C9H16NO5Na,,"D-Sodium Pantothenate(r)-n-(2,4-dihydroxy-3,3-dimethyl-1-oxobutyl)-beta-alanine monosodium salt,SODIUM D-PANTOTHENATESODIUM PANTHOTENATESODIUM PANTOTHENATEbeta-alanine,n-(2,4-dihydroxy-3,3-dimethyl-1-oxobutyl)-,monosodiumsalt,(t heta)-,monosodiumsalt,d-pantothenicaci,N-(2,4-dihydroxy-3,3-dimethyl-1-oxobutyl)-,monosodiumsalt,(R)-.beta.-Alanine,n-(2,4-dihydroxy-3,3-dimethyl-1-oxobutyl)-,monosodiumsalt,(r)-beta-alanin,n-(2,4-dihydroxy-3,3-dimethyl-1-oxobutyl)-,monosodiumsalt,(theta)-beta-alanin,pantothenicacid,sodiumsalt,sodiumpantothenicacidD-PANTOTHENIC ACID, NA SALT,D-PANTOTHENIC ACID SODIUMD(+)-PANTOTHENIC ACID SODIUM SALTSodium DextropantothenateSodium,D-Pantothenate,sodium 3-{[(2R)-2,4-dihydroxy-3,3-dimethylbutanoyl]amino}propanoate,sodium 3-[(2,4-dihydroxy-4-methyl-pentanoyl)amino]propanoate,",
3086,Sodium Paraben,,,,,,,,
3087,Sodium Pca,,,128.107,,C5H6NO3,,"Monosodium 5-oxoprolineSodium pyrrolidone carboxylate5-Oxo-DL-proline, monosodium salt,DL-proline, 5-oxo-, monosodium salt,NalidonePCA sodaSodium PCASodium pyroglutamateUNII-469OTG57A2Proline, 5-oxo-, monosodium salt,Sodium 5-oxo-DL-prolinate(2R)-5-oxopyrrolidine-2-carboxylate2-Pyrrolidone-5-carboxylic acid sodium salt",
3088,Sodium Pca,,,128.107,,C5H6NO3,,"Monosodium 5-oxoprolineSodium pyrrolidone carboxylate5-Oxo-DL-proline, monosodium salt,DL-proline, 5-oxo-, monosodium salt,NalidonePCA sodaSodium PCASodium pyroglutamateUNII-469OTG57A2Proline, 5-oxo-, monosodium salt,Sodium 5-oxo-DL-prolinate(2R)-5-oxopyrrolidine-2-carboxylate2-Pyrrolidone-5-carboxylic acid sodium salt",
3089,Sodium P-Chloro-M-Cresol,,,,,,,,
3090,Sodium Persulfate,,550 g/L (20???),174.104,,Na2S2O8,,"disodium peroxodisulfatePeroxydisulfuric acid, disodium salt,Peroxydisulfuric acid (((HO)S(O)2)2O2), disodium salt,Sodium peroxydisulfateSodium persulphatedisodium [(sulfonatoperoxy)sulfonyl]oxidanidedisodium dioxidan-2-idesulfonate",
3091,Sodium Phenolsulfonate,,,,,,,,
3092,Sodium Phenoxide,,,116.093,,C6H5NaO,,SodiumphenoxideanhydrousSodiumphenoxidesodium phenolateSodium benzenolate,
3093,Sodium Phosphate,,,163.94,,Na3PO4,,"ATSPtrisodium phosphateTri-Sodium PhosphateTSPSodium phosphatephosphoric acid, sodium salt,",
3094,Sodium Phthalate Stearyl Amide,,,,,,,,
3095,Sodium Phytate,,,923.82,,C6H6Na12O24P6,,,
3096,Sodium Picramate,,,221.103,,C6H4N3NaO5,,"sodium 2-amino-4,6-dinitrophenoxide,Sodium PicramatePicramic Acid Sodium salt2-Amino-4,6-Dinitrophenol Sodium,sodium 2-amino-4,6-dinitrophenolate,",
3097,Sodium Polyacrylate,,,0,1.15 (30% aq.),(C3H3NaO2)n,,Polyacrylic acid sodium saltSodiumpolyacrylateinwaterPoly(acrylate sodium)PolyacrylatesodiumsolidPolyacrylatesodiumAqPolyacrylic Acid SodiumPAAS,
3098,Sodium Polymethacrylate,,,108.072,,(C4H6O2)x??xNa,,"Poly(methacrylic acid, sodium salt),",
3099,Sodium Polystyrene Sulfonate,,,,,,,,
3100,Sodium Propionate,,995 g/L (20???),96.06,,C3H5NaO2,,"Sodium propionatepropionic acid sodium type Ipropionic acid sodium insect cell*culture testedPropanoic acid, sodium salt,sodium propanoatecalcium dipropanoatepropanoate",
3101,Sodium Propylparaben,,,202.18,,C10H11NaO3,,,
3102,Sodium Ricinoleate,,,,,,,,
3103,Sodium Saccharin,,>=10 g/100 mL at 20???,205.17,,C7H4NNaO3S,,"1,2-benzisothiazol-3(2H)-one 1,1-dioxide, sodium salt,Sodium Saccharinsodium 1,2-benzothiazol-3-olate 1,1-dioxide,1,2-benzisothiazol-3-olate 1,1-dioxide,Saccharine SodiumSodium Saccharin Soluble",
3104,Sodium Saccharin,,>=10 g/100 mL at 20???,205.17,,C7H4NNaO3S,,"1,2-benzisothiazol-3(2H)-one 1,1-dioxide, sodium salt,Sodium Saccharinsodium 1,2-benzothiazol-3-olate 1,1-dioxide,1,2-benzisothiazol-3-olate 1,1-dioxide,Saccharine SodiumSodium Saccharin Soluble",
3105,Sodium Saccharin,,>=10 g/100 mL at 20???,205.17,,C7H4NNaO3S,,"1,2-benzisothiazol-3(2H)-one 1,1-dioxide, sodium salt,Sodium Saccharinsodium 1,2-benzothiazol-3-olate 1,1-dioxide,1,2-benzisothiazol-3-olate 1,1-dioxide,Saccharine SodiumSodium Saccharin Soluble",
3106,Sodium Saccharin,,>=10 g/100 mL at 20???,205.17,,C7H4NNaO3S,,"1,2-benzisothiazol-3(2H)-one 1,1-dioxide, sodium salt,Sodium Saccharinsodium 1,2-benzothiazol-3-olate 1,1-dioxide,1,2-benzisothiazol-3-olate 1,1-dioxide,Saccharine SodiumSodium Saccharin Soluble",
3107,Sodium Saccharin,,>=10 g/100 mL at 20???,205.17,,C7H4NNaO3S,,"1,2-benzisothiazol-3(2H)-one 1,1-dioxide, sodium salt,Sodium Saccharinsodium 1,2-benzothiazol-3-olate 1,1-dioxide,1,2-benzisothiazol-3-olate 1,1-dioxide,Saccharine SodiumSodium Saccharin Soluble",
3108,Sodium Saccharin,,>=10 g/100 mL at 20???,205.17,,C7H4NNaO3S,,"1,2-benzisothiazol-3(2H)-one 1,1-dioxide, sodium salt,Sodium Saccharinsodium 1,2-benzothiazol-3-olate 1,1-dioxide,1,2-benzisothiazol-3-olate 1,1-dioxide,Saccharine SodiumSodium Saccharin Soluble",
3109,Sodium Saccharin,,>=10 g/100 mL at 20???,205.17,,C7H4NNaO3S,,"1,2-benzisothiazol-3(2H)-one 1,1-dioxide, sodium salt,Sodium Saccharinsodium 1,2-benzothiazol-3-olate 1,1-dioxide,1,2-benzisothiazol-3-olate 1,1-dioxide,Saccharine SodiumSodium Saccharin Soluble",
3110,Sodium Salicylate,,1000 g/L (20???),160.1,,C7H5O3Na,,"sodium salicylate uspSalicylic acid sodium saltsalicylic acid sodiumSodium sallicylateSalicylic acid, sodium saltSodium,o-hydroxybenzoic sodium salt2-Hydroxybenzoic acid sodium salt",
3111,Sodium Sarcosinate,,,111.08,,C3H6NNaO2,,Sarcosine sodium saltsodium (methylamino)acetateSodium SarcosineSarcosine sodium,
3112,Sodium Scymnol Sulfate,,,,,,,,
3113,Sodium Sesquicarbonate,,,188.989,,C2Na3O6,,trisodium hydrogendicarbonate,
3114,Sodium Silicate,,,100.081,,Na2SiO3,,"Silicic acid, sodium salt,Sodium silicate solutionAgrosil LRAgrosil SBritesilBritesil H 20Britesil H 24Carsil (silicate)Caswell No. 792DP 222DryseqEPA Pesticide Chemical Code 072603HK 30 (van)HSDB 5028L 96 (salt)Metso 99N 38Portil APyramid 1Pyramid 8SikalonSodium polysilicateSodium sesquisilicateSodium silicate glassSodium siliconateSodium water glassUNII-IJF18F77L3tetrasodium orthosilicatedisodium 1,3-dioxodisiloxane-1,3-diolate,hexasodium disiloxane-1,1,1,3,3,3-hexolate,sodium, oxygen(-2) anion, silicon, sodium,sodium hydroxy(oxo)silanolate",
3115,Sodium Silicoaluminate,,,,,,,,
3116,Sodium Sorbate,,,134.11,,C6H7NaO2,,"Sodium sorbate2,4-Hexadienoic acid, sodium salt,2,4-Hexadienoic acid, sodium salt, (E,E)-,AI3-15084CCRIS 5163HSDB 771Sodium 2,4-hexadienoate, (E,E)-,Sorban sodnySorban sodny [Czech]Sorbic acid, sodium salt,Sodium (E,E)-hexa-2,4-dienoate,sodium (2E,4E)-hexa-2,4-dienoate,",
3117,Sodium Stannate,,,212.69,,Na2SnO3,,"Stannate, disodium,disodium oxostannanediolate",
3118,Sodium Starch Octenylsuccinate,,,,,,,,
3119,Sodium Stearate,,SOLUBLE IN COLD AND HOT WATER,306.46,,C18H35NaO2,,Sodium Octadecanoate,
3120,Sodium Stearoamphoacetate,,,,,,,,
3121,Sodium Stearoamphohydroxypropylsulfonate,,,,,,,,
3122,Sodium Stearoyl Glutamate,,,,,,,,
3123,Sodium Stearoyl Lactylate,,,450.58,,C24H43NaO6,,"Octadecanoicacid,2-(1-carboxyethoxy)-1-methyl-2-oxoethylester,sodiumsalt,sodium2-stearoyllactate",
3124,Sodium Stearoyl Lactylate,,,450.58,,C24H43NaO6,,"Octadecanoicacid,2-(1-carboxyethoxy)-1-methyl-2-oxoethylester,sodiumsalt,sodium2-stearoyllactate",
3125,Sodium Stearoyl Lactylate,,,450.58,,C24H43NaO6,,"Octadecanoicacid,2-(1-carboxyethoxy)-1-methyl-2-oxoethylester,sodiumsalt,sodium2-stearoyllactate",
3126,Sodium Stearyl Sulfate,,,,,,,,
3127,Sodium Succinate,,349 g/L (35???),270.14,,C4H4O4Na2??6H2O,,"Disodium Succinate, Hexahydrate,Sodium Succinate HexahydrateSodium Succinate Dibasic HexahydrateDi-Sodium Succinate HexahydrateFema 3277Butanedioic Acid Disodium Salt HexahydrateSuccinic Acid, Disodium Salt, 6-Hydrate,Succinic Acid Disodium Salt HexahydrateSodium Succinate 6-HydrateMethyl 2-[(2-Chloro-4-Nitrobenzoyl)Amino]-4,5,6,7,8,9-Hexahydrocycloocta[B]Thiophene-3-Carboxylate,Disodium Butanedioate HexahydrateDisodium Succinate Hexahydrate",
3128,Sodium Sulfanilate,,,195.17,,C6H6NNaO3S,,Sulfanilic Acid Sodium SaltSodium Sulfanilate(4-aminophenyl)sulfonyloxysodium4-Amino-Benzenesulfonic Acid Monosodium Salt,
3129,Sodium Sulfate,,18.5 mg/L,142.04,,Na2SO4,,"Sodium sulfate anhydroussodium sulfate standard solutionSulfate ion chromatography standard solution FlukaSodium sulfate solutionSulfateSodium Sulphate Anhydroussodium sulfate,anhydrous,Sodium Sulfate AnhydrateKJELDAHL CATALYST TABLETS SODIUM SULFATEDETERGENT SALT CAKENATRII SULFASSALT CAKESULFATE STANDARD SOLUTIONdisodium sulfateAnhydrous sodium sulphateSodium SulphateAnhydrous sodium sulfate",
3130,Sodium Sulfide,,Soluble in water and alcohol. Insoluble in ether.,312.178,1.335,Na8S4,,"Disodium monosulfideDisodium sulfideDisodium sulphideNa2SSodium monosulfideSodium sulfide (VAN)Sodium sulphidedisodium tetrasulfane-1,4-diide,SODIUM TETRASULFIDE",
3131,Sodium Sulfite,,,229.161,,H14NaO10S,,"sulfurousacid,sodiumsalt,heptahydrate,SODIUM SULPHITE 7H2OSodiumsulfite7-hydrateSODIUM SULFITE 7 H2OSulfurous acid, disodium salt, heptahydrate,SODIUMSULPHITEHEPTAHYDRATEdisodium sulfite",
3132,Sodium Thiocyanate,,139 g/100 mL (21???),81.07,,NaCNS,,Sodium rhodanideSodium thiocyanatehaimasednatriumrhodanidscyansodiumthiocyanatesolutionsodiumthiocyanidethiocyanatesodiumusafek-t-434Sodium rhodanatesodium sulfocyanideSodium isocyanatesodium (thioxomethylidene)azanide,
3133,Sodium Thioglycolate,,soluble,114.1,,C2H3NaO2S,,"Thioglycolic acid, sodium salt,Mercaptoacetic acid sodium saltSodium mercaptoacetateThioglycolic acid sodium saltsodium sulfanylacetate",
3134,Sodium Thiosulfate,,,158.11,,Na2S2O3,,"hypohyporicesodium hyposulfitesodium subsulfitesodium thiosulfate anydrousthiosulfuric acid, disodium salt,thiosulfuric acid (h2s2o3), disodium salt,thiopivalic acid sodium saltsodi-um hyposulfidedechlorinating solutionbetz 0235sulfurothioic O,O-acid,hydrogen sulfurothioate",
3135,Sodium Toluenesulfonate,,,,,,,,
3136,Sodium Trideceth-3 Carboxylate,,,,,,,,
3137,Sodium Trideceth-7 Carboxylate,,,,,,,,
3138,Sodium Trideceth-8 Carboxylate,,,,,,,,
3139,Sodium Trideceth-12 Carboxylate,,,,,,,,
3140,Sodium Trideceth Sulfate,,,,,,,,
3141,Sodium Tridecyl Sulfate,,,,,,,,
3142,Sodium Trimetaphosphate,,,305.89,,Na3P3O9,,"trimetaphosphate trisodiumtrisodium cyclo-triphosphatesodium cyclotriphosphateMetaphosphoric acid, trisodium salt,Sodium TrimetaphosphateSTMP",
3143,Sodium Undeceth-5 Carboxylate,,,,,,,,
3144,Sodium Undecylenate,,,,,,,,
3145,Sodium Usnate,,,,,,,,
3146,Sodium Usnate,,,,,,,,
3147,Sodium Usnate,,,,,,,,
3148,Sodium Xylene Sulfonate,,,,,,,,
3149,Solvent Black 3,,,667.53,,C32H18CrN6O8.H,,,
3150,Solvent Black 5,,,,,,,"C.I. 50415C.I. Solvent Black 5Solvent Black 5Nigrosine, alcohol soluble,Nigrosin,alcohol soluble,Solvent Black 5Spirit NigrosineOil BlackNigrosin alcohol solubleAlcohol soluble nigrosine",
3151,Solvent Green 3,,,418.49,1.292g/cm3,C28H22N2O2,,"C.I. 61565C.I. Solvent Green 31,4-Bis(p-tolylamino)anthraquinone,solvent green 3 (C.I. 61565)Quinizarin green SS1,4-Di-p-toluidino anthraquinone,Transparent Green 5BC.I.Solvent Green 3Green 5B1,4-bis[(4-methylphenyl)amino]anthracene-9,10-dione,Oil green 6001",
3152,Solvent Green 7,,300 g/L (25???),524.39,,C16H7Na3O10S3,,"C.I. 59040C.I. Solvent Green 7D & C Green no. 8d&cgreenno.8greenno.204pyranineconcentratedtrisodium1-hydroxy-3,6,8-pyrenetrisulfonate,D AND C GREEN NO 8CYANOMETHYL-3,4-DIMETHOXYBENZENE,CI 59040HOMOVERATRONITRILHPTS TRISODIUM SALTHPTSLABOTEST-BB LT001599178-HYDROXY-1,3,6-PYRENETRISULFONIC ACID TRISODIUM SALT,8-HYDROXYPYRENE-1,3,6-TRISULFONIC ACID, TRISODIUM SALT,trisodium 8-hydroxypyrene-1,3,6-trisulfonate,8-hydroxypyrene-1,3,6-trisulfonic acid,8-hydroxypyrene-1,3,6-trisulfonate,",
3153,Solvent Orange 1,,,351.41,,C22H17N5,,"Solvent Orange 14C.I.26020C.I.Solvent Orange 144-[[4-(Phenylazo)phenyl]azo]-1-naphthalenamine4-{[4-(Phenyldiazenyl)phenyl]diazenyl}-1-naphthalenamine1-Naphthalenamine, 4-[2-[4-(2-phenyldiazenyl)phenyl]diazenyl]-,",
3154,Solvent Red 1,,,379.46,1.15g/cm3,C24H21N5,,"C.I. 26050C.I. 26,050,C.I. Solvent Red 19C.I. Solvent Red 19 (8CI)Fat Red 7BN-Ethyl-1-[4-(phenylazo)phenylazo]-2-naphthylamineSolvent Red 19sudan red 7B (C.I. 26050)fat red bluishN-ethyl-1-(4-(phenylazo)phenylazo)-2-naphthylamineOil violetN-ethyl-1-[(E)-{4-[(E)-phenyldiazenyl]phenyl}diazenyl]naphthalen-2-amine",
3155,Solvent Red 3,,,693.83276,,C34H39N5O7S2,,"7-hydroxy-8-[[4-(phenylazo)phenyl]azo]naphthalene-1,3-disulphonic acid, compound with dicyclohexylamine,Solvent red 30 (C.I. 27291)C.I.27291C.I.Solvent Red 301, 3-Naphthalenedisulfonic acid, 7-hydroxy-8-[[4-(phenylazo)phenyl]azo], compd, with N-cyclohexylcyclohexanamine,Pacosol Red Y.Spirit Fast Scarlet CGN-cyclohexylcyclohexanamine,(8Z)-7-oxo-8-[(4-phenyldiazenylphenyl)hydrazinylidene]naphthalene-1,3-disulfonic acid,",
3156,Solvent Red 23,,,352.39,,C22H16N4O,,"C.I. 26100C.I. 23C.I. Solvent Red 23C.I. Solvent Red 23 (8CI)1-((4-(Phenylazo)phenyl)azo)-2-naphthalenol2-Naphthalenol, 1-((4-(phenylazo)phenyl)azo)-,CI 26100D & C Red no. 17Solvent red 23Sudan III1-((p-Phenylazo)phenyl)azo-2-naphthol1-(Phenylazophenylazo)-2-hydroxynaphthalene111440 Red2-Naphthol, 1-((p-(phenylazo)phenyl)azo)-,4-16-00-00248 (Beilstein Handbook Reference)AI3-02854Atul Oil Red GBRN 0931185Benzeneazobenzeneazo-beta-naphtholBrasilazina Oil ScarletCCRIS 7074Cerasin RedCerasinrotCerotinscharlach RCertiqual Oil RedCerven rozpoustedlova 23Cerven rozpoustedlova 23 [Czech]D and C Red No. 17EINECS 201-638-4FD and C Red No. 17Fast Oil Scarlet IIIFat Red (bluish)Fat Red HRRFat Red RFat Red RSFat Red RS (VAN)Fat Red, Bluish (VAN),Fat Scarlet LBFat Soluble Red ZHFettponceau GFettrotFettscharlachFettscharlach LBGrasal Brilliant Red GGrasan Brilliant Red GJapan Red 225Motirot 2RNSC 65825Oil RedOil Red 3GOil Red 6566Oil Red ASOil Red GOil ScarletOil Scarlet ASOil Scarlet GOrganol Red BSOrganol ScarletPonceau, insoluble, OLG,Pyronalrot BRed No. 225Red ZHRouge cerasineScarlet B Fat SolubleSchultz No. 31Silotras Scarlet TBSomalia Red IIISoudan IIIStearix ScarletSudan G IIISudan III (G)Sudan P IIISudan Red IIITetrazobenzene-beta-naphtholToney RedUNII-ND733RX3JN1-(4-(Phenylazo)phenylazo)-2-naphthol2-Naphthalenol, 1-(2-(4-(2-phenyldiazenyl)phenyl)diazenyl)-,Sudan 3D AND C RED NO 17CI NO 26100HERXHEIMER FAT STAINFAT PONCEAU GFAT SOLUBLE SUDAN1-[[P-(PHENYLAZO)PHENYL]AZO]-2-NAPHTHOLTransparent Red HRRC.I.Solvent Red 23Red HRR(1Z)-1-({4-[(E)-phenyldiazenyl]phenyl}hydrazono)naphthalen-2(1H)-one1-({4-[(E)-phenyldiazenyl]phenyl}hydrazono)naphthalen-2(1H)-one1-[(E)-{4-[(E)-phenyldiazenyl]phenyl}diazenyl]naphthalen-2-olOil red 3004",
3157,Solvent Red 43,,,647.89,,C20H8Br4O5,,"D & C Red no. 214-19-00-02917 (Beilstein Handbook Reference)BromeosinBromoeosinC.I. Solvent Red 43D and C Red No. 21Eosin Y spirit solubleEosin acidEosine acidJapan Red 223Japan Red No. 223Red No. 223Solvent Red 43disodium 2-(2,4,5,7-tetrabromo-6-oxido-3-oxo-3H-xanthen-9-yl)benzoate,Eosin Yellowish2-(2,4,5,7-tetrabromo-6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid,",
3158,Solvent Red 48,,,,,,,,
3159,Solvent Red 72,,,490.1,1.6743 (rough estimate),C20H10Br2O5,,"Dibromofluorescein (contains Mono-, Tri- and Tetra-),4,5-Dibromofluorescein,Solvent Red72,SOLVENT RED 724,5-Dibromof,4,5-dibromo-3,6-dihydroxyspiro[2-benzofuran-3,9-xanthene]-1-one,4,5dibromo-fluorescei,4,5-dibromofluororescein,",
3160,Solvent Violet 13,,,329.35,1.2464 (rough estimate),C21H15NO3,,C.I. 60725C.I. Disperse Blue 72C.I. Solvent Violet 13Alizurol purpleQuinizarin blueSolvent Violet 13C.I.Solvent Violet 13Violet BPlast violet 4001,
3161,Solvent Yellow 29,,,,,,,,
3162,Solvent Yellow 33,,,273.29,1.366g/cm3,C18H11NO2,,"C.I. Solvent Yellow 33D & C Yellow no. 11Yellow PS2-(quinolin-2-yl)-1H-indene-1,3(2H)-dione,2-quinolin-2(1H)-ylidene-1H-indene-1,3(2H)-dione,",
3163,Solvent Yellow 44,,,316.353,1.342g/cm3,C20H16N2O2,,"FD&C Yellow 111H-Benz(de)isoquinoline-1,3(2H)-dione, 6-amino-2-(2,4-dimethylphenyl)-,6-Amino-2-(2,4-dimethylphenyl)-1H-benz(de)isoquinoline-1,3(2H)-dione,CI 56200FD & C Yellow 11Solvent yellow 444-Amino-N-(2,4-xylyl)-1,8-naphthalimide,4-Amino-N-(2,4-dimethylphenyl)naphthalene-1,8-dicarboximide,6-amino-2-(2,4-dimethylphenyl)-1H-benzo[de]isoquinoline-1,3(2H)-dione,",
3164,Sorbic Acid,,1.6 g/L (20???),112.128,,C6H8O2,,"1,3-pentadiene-1-carboxylic acid,(2-butenylidene)acetic acid2-Propenylacrylic acidalpha-trans-gamma-trans-sorbic acidcrotylidene acetic acid(E,E)-2,4-hexadienoic acid,hexa-2,4-dienoic acid,hexadienoic acidHexadienoic acid, (E,E),panosorbPreservastatSorbic acidSorbistattrans,trans-2,4-hexadienoic acid,trans,trans-sorbic acid,(2E,4E)-hexa-2,4-dienoic acid,hexa-2,4-dienoate,",
3165,Sorbitan Diisostearate,,,,,,,,
3166,Sorbitan Diisostearate,,,,,,,,
3167,Sorbitan Diisostearate,,,,,,,,
3168,Sorbitan Dioleate,,,,,,,,
3169,Sorbitan Distearate,,,,,,,,
3170,Sorbitan Isostearate,,,,,,,,
3171,Sorbitan Laurate,,,346.46,1.123g/cm3,C18H34O6,,"span (R) 20 hlb-value 8.6span(R) 20 solutionSorbitan Monolaurate (Span-20)sorbitan laurateSpan(rg 20Span?20Span?20 solutionSpan-20Emulsifier S-20[2-[(2R,3S,4R)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] dodecanoate,3,6-anhydro-1-O-dodecanoylhexitol,1,4-anhydro-6-O-dodecanoyl-D-glucitol,",
3172,Sorbitan Laurate,,,346.46,1.123g/cm3,C18H34O6,,"span (R) 20 hlb-value 8.6span(R) 20 solutionSorbitan Monolaurate (Span-20)sorbitan laurateSpan(rg 20Span?20Span?20 solutionSpan-20Emulsifier S-20[2-[(2R,3S,4R)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] dodecanoate,3,6-anhydro-1-O-dodecanoylhexitol,1,4-anhydro-6-O-dodecanoyl-D-glucitol,",
3173,Sorbitan Laurate,,,346.46,1.123g/cm3,C18H34O6,,"span (R) 20 hlb-value 8.6span(R) 20 solutionSorbitan Monolaurate (Span-20)sorbitan laurateSpan(rg 20Span?20Span?20 solutionSpan-20Emulsifier S-20[2-[(2R,3S,4R)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] dodecanoate,3,6-anhydro-1-O-dodecanoylhexitol,1,4-anhydro-6-O-dodecanoyl-D-glucitol,",
3174,Sorbitan Laurate,,,346.46,1.123g/cm3,C18H34O6,,"span (R) 20 hlb-value 8.6span(R) 20 solutionSorbitan Monolaurate (Span-20)sorbitan laurateSpan(rg 20Span?20Span?20 solutionSpan-20Emulsifier S-20[2-[(2R,3S,4R)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] dodecanoate,3,6-anhydro-1-O-dodecanoylhexitol,1,4-anhydro-6-O-dodecanoyl-D-glucitol,",
3175,Sorbitan Laurate,,,346.46,1.123g/cm3,C18H34O6,,"span (R) 20 hlb-value 8.6span(R) 20 solutionSorbitan Monolaurate (Span-20)sorbitan laurateSpan(rg 20Span?20Span?20 solutionSpan-20Emulsifier S-20[2-[(2R,3S,4R)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] dodecanoate,3,6-anhydro-1-O-dodecanoylhexitol,1,4-anhydro-6-O-dodecanoyl-D-glucitol,",
3176,Sorbitan Oleate,,,428.61,1.068g/cm3,C24H44O6,,"Sorbitan Monooleate (Span 80)Sorbitan oleateSorbitan (Z)-mono-9-octadecenoateEmulsifier S80[2-[(2R,3S,4R)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] (Z)-octadec-9-enoate,1,4-anhydro-6-O-[(9Z)-octadec-9-enoyl]-D-glucitol,[(2R)-2-[(2R,3R,4S)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] octadec-9-enoate,Sorbitan monooleatepolyoxyethylene(20) sorbitan monooleateSpan 80",
3177,Sorbitan Oleate,,,428.61,1.068g/cm3,C24H44O6,,"Sorbitan Monooleate (Span 80)Sorbitan oleateSorbitan (Z)-mono-9-octadecenoateEmulsifier S80[2-[(2R,3S,4R)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] (Z)-octadec-9-enoate,1,4-anhydro-6-O-[(9Z)-octadec-9-enoyl]-D-glucitol,[(2R)-2-[(2R,3R,4S)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] octadec-9-enoate,Sorbitan monooleatepolyoxyethylene(20) sorbitan monooleateSpan 80",
3178,Sorbitan Oleate,,,428.61,1.068g/cm3,C24H44O6,,"Sorbitan Monooleate (Span 80)Sorbitan oleateSorbitan (Z)-mono-9-octadecenoateEmulsifier S80[2-[(2R,3S,4R)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] (Z)-octadec-9-enoate,1,4-anhydro-6-O-[(9Z)-octadec-9-enoyl]-D-glucitol,[(2R)-2-[(2R,3R,4S)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] octadec-9-enoate,Sorbitan monooleatepolyoxyethylene(20) sorbitan monooleateSpan 80",
3179,Sorbitan Oleate,,,428.61,1.068g/cm3,C24H44O6,,"Sorbitan Monooleate (Span 80)Sorbitan oleateSorbitan (Z)-mono-9-octadecenoateEmulsifier S80[2-[(2R,3S,4R)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] (Z)-octadec-9-enoate,1,4-anhydro-6-O-[(9Z)-octadec-9-enoyl]-D-glucitol,[(2R)-2-[(2R,3R,4S)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] octadec-9-enoate,Sorbitan monooleatepolyoxyethylene(20) sorbitan monooleateSpan 80",
3180,Sorbitan Oleate,,,428.61,1.068g/cm3,C24H44O6,,"Sorbitan Monooleate (Span 80)Sorbitan oleateSorbitan (Z)-mono-9-octadecenoateEmulsifier S80[2-[(2R,3S,4R)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] (Z)-octadec-9-enoate,1,4-anhydro-6-O-[(9Z)-octadec-9-enoyl]-D-glucitol,[(2R)-2-[(2R,3R,4S)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] octadec-9-enoate,Sorbitan monooleatepolyoxyethylene(20) sorbitan monooleateSpan 80",
3181,Sorbitan Palmitate,,,402.57,1.075g/cm3,C22H42O6,,"Sorbitan monopalmitatesorbitan palmitateSpan?40Span 40Emulsifier S-40Span-40[2-[(2R,3S,4R)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] hexadecanoate,1,4-anhydro-6-O-hexadecanoyl-D-glucitol,",
3182,Sorbitan Palmitate,,,402.57,1.075g/cm3,C22H42O6,,"Sorbitan monopalmitatesorbitan palmitateSpan?40Span 40Emulsifier S-40Span-40[2-[(2R,3S,4R)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] hexadecanoate,1,4-anhydro-6-O-hexadecanoyl-D-glucitol,",
3183,Sorbitan Palmitate,,,402.57,1.075g/cm3,C22H42O6,,"Sorbitan monopalmitatesorbitan palmitateSpan?40Span 40Emulsifier S-40Span-40[2-[(2R,3S,4R)-3,4-dihydroxytetrahydrofuran-2-yl]-2-hydroxy-ethyl] hexadecanoate,1,4-anhydro-6-O-hexadecanoyl-D-glucitol,",
